Work Order,Description,Charge To,Charge To Name,Type,Status,Shift,Priority,Created,Creator,Assigned,Scheduled,Fail Code,Actual Finish,Completion Comments
18066772,L1WS:  Vibrator for seeder not turning off. Possibility bad solenoid.,7678,Bread Splitter / Applicator L1WS,CM,Approved,,2,4/14/18,BBUGRNSBOOTH,,12/31/1899,,12/31/1899,
18066705,L1B2:  need to replace the discharge conveyor guide mounting brackets (broken),6674,Bread Bagger L1B2,CM,Approved,,2,4/13/18,BBUGRNROROL,,12/31/1899,,12/31/1899,
18066701,OVEN FEED CONVEYORS:  Level and adjust all transfers to oven loader (issue to Tom Clear),LINE 1 OVEN FEED CONVEYORS,BREAD LINE 1 OVEN FEED CONVEYORS,CM,Approved,1,2,4/13/18,BBUGRNRPOTTER,,12/31/1899,,12/31/1899,
18066700,"L2LR_L11:  Remove conveyor belt, deliver to the wash room for Sanitation to clean.",16182,Line 2 Lid Return Conveyor L2LR_L11,CM,Approved,,2,4/13/18,BBUGRNRPOTTER,,12/31/1899,,12/31/1899,
18066699,L2PF_R23:  replace Intralox conveyor belting.  *****Belt is in the line 2 staging cage.  THIS BELTING WILL NEED TO BE CHARGED/CHECKED OUT WHEN USED*****,16274,Line 2 Pan Feed Conveyor L2PF_R23,CM,Approved,2,2,4/13/18,BBUGRNRPOTTER,,12/31/1899,,12/31/1899,
18066692,L1B4:  Tyer photo eye has no power repair/ replace if necessary.,6676,Bread Bagger L1B4,CM,Approved,,2,4/13/18,BBUGRNRDACOSTA,,12/31/1899,,12/31/1899,
18066672,L1PF2:  Replace stripper plate (screw holes worn out).   Part #10891-051 stripper base plate,6713,Bread Basket Loader L1PF2,CM,Approved,,2,4/13/18,BBUGRNKHARRIS,,12/31/1899,,12/31/1899,
18066669,L2OV:  Left side take up switch activated pros can't be moved back any further right side switch also as far back as can go but switch is not activated yet moved prox back 1/8 I think it's time to shorten chain,7238,Bread Oven L2 OV,CM,Approved,,2,4/13/18,BBUGRNADESANTIS,,12/31/1899,,12/31/1899,
18066636,L7PTC2:  Replace leaking air regulator.,7928,Muffin Intermediate Proofer L7IP,CM,Approved,,2,4/12/18,BBUGRNOHERNANDEZ,,12/31/1899,,12/31/1899,
18066626,L9IP:  Replace the clam shell operating cylinder.,7930,Muffin Intermediate Proofer L9IP,CM,Approved,,1,4/12/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066625,L7IP:  Replace the clam shell operating cylinder.,7928,Muffin Intermediate Proofer L7IP,CM,Approved,,1,4/12/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066621,L1MOLDERA:  repair roller for moulder belt need (4) 1 1/4 in. taper locks 1610,14515,Bread Molder - L1MolderA,CM,Approved,,2,4/12/18,BBUGRNRPOTTER,,12/31/1899,,12/31/1899,
